comment_text,like_count,published_at
"Hay que hacerlo por las chicas, para que estén felices y tengan su 5° MV con un billón antes de su aniversario.",1115,2021-05-24T23:53:15Z
ROSE ! “ITS A BIRD... ITS A PLANE” ICONIC.,146,2020-06-26T09:13:50Z
Blackpink gonna kick off their deadline world tour this month !!! 🔥,1,2025-07-03T14:48:42Z
HOW YOU LİKE THAT,186,2020-06-26T15:47:45Z
"No one: 
Literally no one: 
Me: EVERYONE LOOKS SO GOOD",841,2020-06-26T09:06:29Z
"""LOOK AT YOU NOW LOOK AT ME""
GOD OK IM UGLY YOUVE PROVEN YOUR POINT..",726,2020-06-26T09:07:48Z
BLACKPINK IS THE REVOLUTION ❤,3,2025-07-08T04:20:15Z
"The blonde highlights: 

Mark, Jisung, Yangyang, Jennie: it's free real estate",292,2020-06-26T09:48:04Z
"Kill this love: look at me look at you
How you like that: look at you now look at me",971,2020-06-26T09:03:15Z
Who's ready for 300M views in 2 weeks??,339,2020-06-27T07:41:23Z
BLACKPINK PAVED THE WAY,6,2025-07-03T22:30:46Z
Everyone please be strong for just 24 hours.  After this we rest okay.,629,2020-06-27T07:41:42Z
"I recently started listening to K-Pop a lot more last year, the reason I didn’t listen to it before was because I didn’t know much about it, it wasn’t until one of my friends showed me this song and instantly fell in love BLACKPINK are one of the groups that made me love the genre just the swagger they had the presence they bought and everything, ever since then I’ve been listening to a lot more groups lately I know there’s a lot more out there that I still need listen to but honestly BLACKPINK are one of my favorites LISA is my Queen I love her🖤💖",288,2022-08-08T06:49:52Z
"No one:
Not even yg:

Me: almost *three hours later* almost",462,2020-06-26T08:57:56Z
Blackpink in you area I LOVE THISSSSSSSSSSSS NOSTALGIC❤,1,2025-07-17T02:27:47Z
Si una alguna vez te sientes estúpido recuerda que hay 1.2M de personas que no les gusta está obra de arte,126,2021-07-06T15:19:35Z
This is 100% Jenlisa’s response to all their haters. Look at you now look at me.,191,2020-06-26T09:25:55Z
"Bts and Blackpink release their mv 1 minute apart

Me: Stans both group = dead",205,2020-06-26T09:28:44Z
still one of blackpink's biggest comeback,7,2025-07-11T07:40:05Z
my jisoo improved so much,230,2020-06-27T07:41:47Z
"me rn;
Left eye: how you like that mv
Right eye: Stay gold mv",169,2020-06-26T09:48:08Z
Random Fact: you’re probably sitting here waiting for them to release it,436,2020-06-26T07:54:16Z
LETTSSS JUMPPP,17,2025-07-11T04:10:24Z
"Kill this love: *Look at me, look at you*
How you like that: *Look at you, now look at me*",319,2020-06-26T09:20:40Z
I WASN’T  MENTALLY PREPARED FOR THIS AT ALL.,1363,2020-06-26T09:14:12Z
"Kill This Love: "" LOOK AT ME LOOK AT YOU""
How You Like That: ""NOW LOOK AT YOU NOW LOOK AT ME""",619,2020-06-26T11:48:38Z
This era is something else 😊❤,0,2025-07-14T15:50:38Z
"POV: Your searching for a comment that doesn’t talk about people 
wanting likes.

(Edit: Its the same on “BTS - Stay gold mv”)
Honestly all these anti’s are getting on my nerves 😤
Nevermind just let the antis comment what they want, atleast it gives  Blackpink and BTS higher chances of having the most comments on a yt m/v.",258,2020-06-26T11:55:03Z
1:41 people weren’t wrong when they say Jennie literally is Chanel.,279,2020-06-26T17:13:29Z
"Youtube: 6 minutes left
Me: WHY IS TIMEE SO SLOWWW",157,2020-06-26T08:52:21Z
literally the best,0,2025-07-03T05:21:07Z
DEMOSTREMOS QUE BLACKPINK NO SON UNA DISTRACCIÓN SINO UNA INSPIRACIÓN!!,145,2023-04-01T20:00:59Z
"everyone in the comments: i'm here before the premier
me: wtf is that purple thing in the back",741,2020-06-26T08:57:08Z
"¿Hay BLINKS de Latinoamérica en los comentarios de este vídeo? Vamos por los 900M y luego al 1B ✧\(>o<)ﾉ✧

Edit: OIGAN! ME FUI 2 DÍAS Y YA 1K DE LIKES, ME SIENTO FAMOSO ;;---;;; 
SIGAMOS CON VER EL VÍDEO DE MANERA CORRECTA Y NO COMENTEN EMOJIS O 5P4M :)",1338,2021-06-06T13:36:05Z
"So much nostalgia, Welcome back BLACKPINK",3,2025-07-11T11:56:40Z
"Blinks estamos perdiendo en todas las votaciones, se que no es obligatorio votar pero hagámoslo por las chicas, y hagamos str3am es muy importante!!
Blinks si podemos.",454,2020-11-18T00:42:21Z
I can still remember waiting this to release last 4years😭 times so fast,397,2024-07-25T15:02:15Z
"2:11 When chaeng said ""The day I fall without my wings"" she ain't lyin' bruh.",152,2020-06-26T13:22:14Z
ugh what a masterpiece of an MV,1,2025-07-20T18:32:49Z
"Everyone: already finished the mv in one go

While me with my potato wifi: =_=",3415,2020-06-26T09:08:23Z
"Assim como estou ansioso pelo Solo da LISA ,
estou pelo 1B que está cada vez mais próx '.",1822,2021-09-07T22:26:24Z
"TODOS LOS BLINKS QUE AHORITA ESTAN HACIENDO STR3AM, GRACIAS uwu Gracias por siempre estar X2",417,2021-04-15T22:56:06Z
Welcome  back  blackpink ❤❤,1,2025-07-14T12:07:14Z
Podriamos hacer este quinto Billón para su aniversario ? Que esperamos? Vamos Blinks,371,2021-06-29T22:04:17Z
1B COMING SOON,652,2021-08-02T04:38:01Z
The first parts of the mv gave me bigbang's Bae Bae vibes,133,2020-06-26T09:03:36Z
BLACKPINK THE QUEENS YOU ALL ARE,3,2025-07-16T02:16:05Z
Omg it's official. This is Jisoo's era,136,2020-06-27T07:46:46Z
"VLive Blink: OH MY GOD YES QUEENS

YouTube Blink: 
“No one:
Literally no one:”",178,2020-06-26T10:02:43Z
Lleguemos mis blinks lleguemos a ese billon y el dance practice también FIRMES Y DIGNOS,559,2021-10-18T01:30:06Z
J'adore  How You Like That'   BLACKPINK,3,2025-07-11T09:08:22Z
2:51 The best backup dancers post ever 😂,275,2020-12-05T14:43:45Z
"New fans of kpop: Hana, dul, set
Blinks: Y A D O M",268,2020-06-26T09:13:19Z
"JenLisa attacked me personally by saying ""look at you, now look at me"" I-",173,2020-06-26T10:16:45Z
"Look up in the sky its a bird, its a plane. That is my favourite line❤❤❤",3,2025-07-20T04:54:01Z
"No one:

Literally no one:

The comments:
“No one” “literally no one”",756,2020-06-26T09:47:22Z
Jisoo is in relationship with fire rain,244,2020-06-26T09:13:59Z
"More & More, Butterfly, Hug U, and How You Like That are sitting at the same table.",139,2020-06-26T09:17:38Z
Look at these SETSSSSS!!!,1,2025-07-14T09:06:44Z
"2:33
Jennie: *""Bring out the boss bish""*
Me: Did i hear that correctly?
Also me: Ooooooooh they've upgraded words",772,2020-06-27T03:32:12Z
Thought Jisoo would say the “Blackpink in your area” now I’m kind of disappointed but keep streaming blinks,206,2020-06-26T09:34:50Z
BLACKPINK MIS REINAS HERMOSAS YA FALTA POCO PARA SU REGRESO LAS AMOOOOO,625,2022-08-14T22:11:03Z
I love this song,1,2025-07-23T19:27:44Z
"me: Blink
my sister: Army
""How you like that"" & ""Stay Gold"" remix at home",172,2020-06-26T09:23:46Z
"School attendance 20%
College attendance 30%
BLACKPINK attendance 100%",176,2021-10-18T09:32:08Z
lisa rhee after 5 minutes: *released a hylt dance cover*,219,2020-06-26T08:41:52Z
Look at me look at you... OnFIRE 🔥🔥,2,2025-07-15T19:27:31Z
I can’t believe this is actually happening,156,2020-06-26T09:00:55Z
"Blackpink: slaying
Blinks: streaming 
YouTube: let's freeze the views",137,2020-06-26T10:00:59Z
"Nobody:
Absolutely no one:
Not even YG:
Lisa:LoOk At YoU lOoK aT mE

Edit:thanks for the likes blinks❤💓",504,2020-06-26T09:15:49Z
this song never get old❤,1,2025-07-18T06:34:35Z
"No one: 
Blackpink: lets get likes and comments before the mv",280,2020-06-26T07:57:35Z
Cuantas veces escucharon esta canción el día de hoy ? Ayuden al str3am,138,2021-05-12T23:01:05Z
"""Look up in the sky its a bird its a plane""

Nah, that's my wig",530,2020-06-26T09:03:18Z
"Here after their comeback 🖤💖""JUMP""🖤💖",1,2025-07-12T15:31:18Z
"No one:
No one:
Blinks:
LET'S EXPLODE COMMENTS",225,2020-06-26T09:15:01Z
"IM GONNA THROW HANDS IF YALL KEEP COMMENTING LIKE THAT

edit note: if you have nothing nice to say, keep your opinion to yourself :) aha",4883,2020-06-26T15:46:32Z
"""look at you""
me looks in the mirror: damn, a potato head-
""now look at me""
me looks at them: *hold my hair, hold my body, hold my money, hold my soul queens*",376,2020-06-26T09:13:52Z
The iconic oreo hair of JENNIE is STUNNIG.,3,2025-07-18T08:41:54Z
"no one:
literally no one:

me:expecting jisoo will say ""blackpink in your area""",189,2020-06-26T09:39:28Z
*BLINKs do mundo inteiro vamos atras do 1 Bilhao*,245,2021-06-07T14:09:07Z
"BLACKPINK: Ha how you like that?

1M: *Disliked this MV is because felt triggered with that response*",432,2020-11-15T18:50:31Z
Best song of the year,2,2025-07-11T11:16:50Z
"""I'll kiss you goodbye""

Nooooo.",165,2020-06-26T09:23:55Z
0:29 okay but can we appreciate how “How you like that” Rose just crushed “Kill this love” rose crying with a four-leaf??,394,2020-06-26T12:29:06Z
"Can y'all stop stop the ""no one"" comments like -
Eye-",173,2020-06-26T09:50:49Z
Oh they went HARD!! 💘,0,2025-07-15T09:49:12Z
"How you like that?

Jennie: How you like my hairstyles?",235,2020-06-26T09:18:54Z
